Class,Symbol,Company Name,Industry,Close,Dividend Yeild,DPR,"Money Trail 
(dividend)","Price Trail
(1 year price)",DPR filter,At least 3 supports,Easy Filter,S&P500 league,Strike below,News,Chart,previous s2,previous s1,previous low,s2,s1,low
champion,NNN,National Retail Properties,Consumer Services,53.16,3.76%,118.18%,Risky,Risky,FALSE,TRUE,FALSE,FALSE,52.42,https://seekingalpha.com/symbol/NNN?s=NNN,https://stockcharts.com/h-sc/ui?s=NNN,49.02,50.56,51.17,49.44,52.42,50.32
champion,NUE,Nucor Corporation,Basic Industries,56.39,2.84%,20.75%,Risky,Moderate,TRUE,TRUE,FALSE,TRUE,56.31,https://seekingalpha.com/symbol/NUE?s=NUE,https://stockcharts.com/h-sc/ui?s=NUE,57.12,58.84,56.46,53.89,56.12,56.31
champion,NWN,Northwest Natural Holding Company,Public Utilities,66.95,2.84%,81.22%,Risky,Risky,FALSE,TRUE,FALSE,FALSE,63.48,https://seekingalpha.com/symbol/NWN?s=NWN,https://stockcharts.com/h-sc/ui?s=NWN,56.71,60.46,62.35,60.36,63,63.48
champion,O,Realty Income Corporation,Consumer Services,70.58,3.84%,209.44%,Safe,Risky,FALSE,TRUE,FALSE,TRUE,69.78,https://seekingalpha.com/symbol/O?s=O,https://stockcharts.com/h-sc/ui?s=O,65.37,67.27,68.18,66,69.78,67.22
champion,ORI,Old Republic International Corporation,Finance,22.09,3.62%,62.90%,Risky,Risky,FALSE,TRUE,FALSE,FALSE,20.51,https://seekingalpha.com/symbol/ORI?s=ORI,https://stockcharts.com/h-sc/ui?s=ORI,19.55,20.2,20.4,20.04,20.48,20.51
champion,PBCT,"People&#39;s United Financial, Inc.",Finance,17.26,4.06%,54.07%,Moderate,Risky,TRUE,TRUE,FALSE,TRUE,16.78,https://seekingalpha.com/symbol/PBCT?s=PBCT,https://stockcharts.com/h-sc/ui?s=PBCT,15.79,16.78,15.73,14.43,15.44,16.47
champion,PEP,"Pepsico, Inc.",Consumer Non-Durables,126.4,2.94%,40.86%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,120.74,https://seekingalpha.com/symbol/PEP?s=PEP,https://stockcharts.com/h-sc/ui?s=PEP,108.95,112.29,114.26,111.07,116.81,120.74
champion,PG,Procter & Gamble Company (The),Basic Industries,105.86,2.71%,69.13%,Risky,Risky,FALSE,TRUE,FALSE,TRUE,102.13,https://seekingalpha.com/symbol/PG?s=PG,https://stockcharts.com/h-sc/ui?s=PG,93.87,96.21,97.75,95.58,99.82,102.13
champion,PH,Parker-Hannifin Corporation,Capital Goods,183,1.66%,28.08%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,173.77,https://seekingalpha.com/symbol/PH?s=PH,https://stockcharts.com/h-sc/ui?s=PH,153.37,164.76,162.3,154.63,163.12,173.77
champion,PNR,Pentair plc.,Technology,38.41,1.87%,58.01%,Risky,Moderate,TRUE,FALSE,FALSE,TRUE,37.32,https://seekingalpha.com/symbol/PNR?s=PNR,https://stockcharts.com/h-sc/ui?s=PNR,39.02,40.78,41.2,40.02,42.26,37.32
champion,PPG,"PPG Industries, Inc.",Basic Industries,117.81,1.63%,34.44%,Moderate,Risky,TRUE,TRUE,FALSE,TRUE,113.35,https://seekingalpha.com/symbol/PPG?s=PPG,https://stockcharts.com/h-sc/ui?s=PPG,100,105.99,106.48,104.06,108.46,113.35
champion,RLI,RLI Corp.,Finance,79.85,1.10%,60.84%,Risky,Risky,FALSE,TRUE,FALSE,FALSE,70.27,https://seekingalpha.com/symbol/RLI?s=RLI,https://stockcharts.com/h-sc/ui?s=RLI,63.06,66.79,68.67,67.31,69.53,70.27
champion,ROP,"Roper Technologies, Inc.",Capital Goods,352.48,0.52%,18.23%,Moderate,Risky,TRUE,TRUE,FALSE,TRUE,340.83,https://seekingalpha.com/symbol/ROP?s=ROP,https://stockcharts.com/h-sc/ui?s=ROP,272.93,298.29,315.09,305.73,323.85,340.83
champion,ROST,"Ross Stores, Inc.",Consumer Services,98.55,1.04%,21.13%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,92.94,https://seekingalpha.com/symbol/ROST?s=ROST,https://stockcharts.com/h-sc/ui?s=ROST,89.37,92.1,88.31,84.45,88.77,92.94
champion,RPM,RPM International Inc.,Basic Industries,60.21,2.33%,71.58%,Risky,Risky,FALSE,TRUE,FALSE,FALSE,58.27,https://seekingalpha.com/symbol/RPM?s=RPM,https://stockcharts.com/h-sc/ui?s=RPM,54.05,55.96,56.11,54.69,56.37,58.27
champion,SCL,Stepan Company,Basic Industries,90.18,1.11%,19.15%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,87.43,https://seekingalpha.com/symbol/SCL?s=SCL,https://stockcharts.com/h-sc/ui?s=SCL,80.75,87.43,84.8,79.07,83.29,87.22
champion,SEIC,SEI Investments Company,Finance,53.87,1.23%,20.06%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,51.87,https://seekingalpha.com/symbol/SEIC?s=SEIC,https://stockcharts.com/h-sc/ui?s=SEIC,45.21,48.98,49.5,47.7,49.98,51.87
champion,SHW,Sherwin-Williams Company (The),Consumer Services,456.67,0.99%,29.48%,Moderate,Risky,TRUE,TRUE,FALSE,TRUE,429.34,https://seekingalpha.com/symbol/SHW?s=SHW,https://stockcharts.com/h-sc/ui?s=SHW,399.39,416.29,410.35,396.9,413.8,429.34
champion,SJW,SJW Group,Public Utilities,60.47,1.98%,61.54%,Risky,Risky,FALSE,TRUE,FALSE,FALSE,59.24,https://seekingalpha.com/symbol/SJW?s=SJW,https://stockcharts.com/h-sc/ui?s=SJW,56.59,58.88,59.24,56.74,59.24,59.1
champion,SKT,"Tanger Factory Outlet Centers, Inc.",Consumer Services,19.06,7.45%,309.44%,Safe,Safe,FALSE,FALSE,FALSE,FALSE,18.87,https://seekingalpha.com/symbol/SKT?s=SKT,https://stockcharts.com/h-sc/ui?s=SKT,20.2,20.89,19.75,18.87,19.92,18.23
champion,SON,Sonoco Products Company,Consumer Durables,62.85,2.61%,52.26%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,59.65,https://seekingalpha.com/symbol/SON?s=SON,https://stockcharts.com/h-sc/ui?s=SON,54.21,56.05,57.22,55.78,58.65,59.65
champion,SPGI,S&P Global Inc.,Finance,220.27,1.04%,25.87%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,210.16,https://seekingalpha.com/symbol/SPGI?s=SPGI,https://stockcharts.com/h-sc/ui?s=SPGI,180.36,190.36,194.95,189.27,199.91,210.16
champion,SRCE,1st Source Corporation,Finance,46.07,2.34%,30.38%,Moderate,Moderate,TRUE,TRUE,FALSE,FALSE,45.21,https://seekingalpha.com/symbol/SRCE?s=SRCE,https://stockcharts.com/h-sc/ui?s=SRCE,42.87,45.21,41.87,38.64,41.78,44.55
champion,SWK,"Stanley Black & Decker, Inc.",Capital Goods,146.3,1.80%,64.66%,Risky,Risky,FALSE,TRUE,FALSE,TRUE,137.07,https://seekingalpha.com/symbol/SWK?s=SWK,https://stockcharts.com/h-sc/ui?s=SWK,118.54,125.49,127.49,123.88,130.03,137.07
champion,SYK,Stryker Corporation,Health Care,188.28,1.10%,20.66%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,184.5,https://seekingalpha.com/symbol/SYK?s=SYK,https://stockcharts.com/h-sc/ui?s=SYK,170.7,179.6,184.5,179.34,188.43,174.84
champion,SYY,Sysco Corporation,Consumer Non-Durables,69.1,2.26%,52.50%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,65.97,https://seekingalpha.com/symbol/SYY?s=SYY,https://stockcharts.com/h-sc/ui?s=SYY,61.62,64.58,65.24,64,65.38,65.97
champion,T,AT&T Inc.,Public Utilities,30.68,6.65%,70.53%,Moderate,Risky,FALSE,TRUE,FALSE,TRUE,30.14,https://seekingalpha.com/symbol/T?s=T,https://stockcharts.com/h-sc/ui?s=T,27.98,29.55,29.67,28.92,30.14,30.05
champion,TDS,"Telephone and Data Systems, Inc.",Public Utilities,31.81,2.07%,54.70%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,30.53,https://seekingalpha.com/symbol/TDS?s=TDS,https://stockcharts.com/h-sc/ui?s=TDS,27.76,29.9,30.53,29.27,30,30.45
champion,TGT,Target Corporation,Consumer Services,77.12,3.32%,45.82%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,74.73,https://seekingalpha.com/symbol/TGT?s=TGT,https://stockcharts.com/h-sc/ui?s=TGT,67.17,69.9,71.96,68.33,74.29,74.73
champion,THFF,First Financial Corporation Indiana,Finance,41.95,2.43%,26.84%,Risky,Moderate,TRUE,TRUE,FALSE,FALSE,41.66,https://seekingalpha.com/symbol/THFF?s=THFF,https://stockcharts.com/h-sc/ui?s=THFF,38.95,41.66,40.55,38.14,40.07,40.43
champion,TNC,Tennant Company,Technology,66.45,1.32%,46.70%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,60.5,https://seekingalpha.com/symbol/TNC?s=TNC,https://stockcharts.com/h-sc/ui?s=TNC,54.81,59,60.5,58.6,60.34,59.18
champion,TR,"Tootsie Roll Industries, Inc.",Consumer Non-Durables,39.7,0.91%,40.45%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,36.64,https://seekingalpha.com/symbol/TR?s=TR,https://stockcharts.com/h-sc/ui?s=TR,31.98,34.58,35.45,34.55,35.89,36.64
champion,TRI,Thomson Reuters Corp,Consumer Services,60.95,2.36%,565.00%,Risky,Risky,FALSE,TRUE,FALSE,FALSE,58.24,https://seekingalpha.com/symbol/TRI?s=TRI,https://stockcharts.com/h-sc/ui?s=TRI,50.68,52.55,53.73,51.79,55.49,58.24
champion,TROW,"T. Rowe Price Group, Inc.",Finance,108.05,2.81%,38.51%,Moderate,Risky,TRUE,TRUE,FALSE,TRUE,101.31,https://seekingalpha.com/symbol/TROW?s=TROW,https://stockcharts.com/h-sc/ui?s=TROW,88.1,94.27,95.07,90.69,95.4,101.31
champion,UBA,Urstadt Biddle Properties Inc.,Consumer Services,22.01,5.00%,160.50%,Risky,Risky,FALSE,TRUE,FALSE,FALSE,20.38,https://seekingalpha.com/symbol/UBA?s=UBA,https://stockcharts.com/h-sc/ui?s=UBA,19.47,20.19,19.76,19.04,19.84,20.38
champion,UBSI,"United Bankshares, Inc.",Finance,39.32,3.46%,55.51%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,36.3,https://seekingalpha.com/symbol/UBSI?s=UBSI,https://stockcharts.com/h-sc/ui?s=UBSI,34.04,36.21,33.9,31.45,33.85,36.3
champion,UGI,UGI Corporation,Public Utilities,53.78,1.93%,43.83%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,52.85,https://seekingalpha.com/symbol/UGI?s=UGI,https://stockcharts.com/h-sc/ui?s=UGI,48.18,51.54,54.03,52.85,54.14,50.4
champion,UHT,Universal Health Realty Income Trust,Consumer Services,79.05,3.42%,152.27%,Risky,Risky,FALSE,TRUE,FALSE,FALSE,72.96,https://seekingalpha.com/symbol/UHT?s=UHT,https://stockcharts.com/h-sc/ui?s=UHT,63.89,69.18,70.53,68.31,72.01,72.96
champion,UMBF,UMB Financial Corporation,Finance,69.66,1.72%,29.70%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,65.19,https://seekingalpha.com/symbol/UMBF?s=UMBF,https://stockcharts.com/h-sc/ui?s=UMBF,61.57,65.19,61.08,56.3,60.17,63.1
champion,UTX,United Technologies Corporation,Capital Goods,140.78,2.09%,43.62%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,129.99,https://seekingalpha.com/symbol/UTX?s=UTX,https://stockcharts.com/h-sc/ui?s=UTX,112.64,119.15,121.48,118.88,123.88,129.99
champion,UVV,Universal Corporation,Consumer Services,52.75,5.69%,68.80%,Safe,Moderate,FALSE,FALSE,FALSE,FALSE,50.89,https://seekingalpha.com/symbol/UVV?s=UVV,https://stockcharts.com/h-sc/ui?s=UVV,50.89,55.11,57.12,54.92,56.28,50.67
champion,VFC,V.F. Corporation,Consumer Non-Durables,94.52,2.16%,96.09%,Risky,Risky,FALSE,TRUE,FALSE,TRUE,86.3,https://seekingalpha.com/symbol/VFC?s=VFC,https://stockcharts.com/h-sc/ui?s=VFC,81.27,84.32,82.77,80.11,83.51,86.3
champion,WABC,Westamerica Bancorporation,Finance,63.97,2.50%,59.93%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,62.52,https://seekingalpha.com/symbol/WABC?s=WABC,https://stockcharts.com/h-sc/ui?s=WABC,60.75,62.52,58.87,55.87,58.84,61.89
champion,WBA,"Walgreens Boots Alliance, Inc.",Health Care,52.85,3.33%,31.00%,Safe,Safe,TRUE,FALSE,FALSE,TRUE,52.74,https://seekingalpha.com/symbol/WBA?s=WBA,https://stockcharts.com/h-sc/ui?s=WBA,66.48,68.83,59.33,52.74,58.01,52.25
champion,WEYS,"Weyco Group, Inc.",Consumer Non-Durables,33.97,2.71%,46.19%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,30.85,https://seekingalpha.com/symbol/WEYS?s=WEYS,https://stockcharts.com/h-sc/ui?s=WEYS,25.44,27.88,28.99,27.01,28.98,30.85
champion,WMT,Walmart Inc.,Consumer Services,101.53,2.09%,92.04%,Risky,Risky,FALSE,TRUE,FALSE,TRUE,96.79,https://seekingalpha.com/symbol/WMT?s=WMT,https://stockcharts.com/h-sc/ui?s=WMT,87.69,93.34,95,92.18,94.86,96.79
champion,WST,"West Pharmaceutical Services, Inc.",Basic Industries,123.68,0.49%,20.80%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,109.88,https://seekingalpha.com/symbol/WST?s=WST,https://stockcharts.com/h-sc/ui?s=WST,93.77,99.26,101.15,98.01,104.1,109.88
champion,WTR,"Aqua America, Inc.",Public Utilities,38.64,2.28%,78.46%,Moderate,Risky,FALSE,TRUE,FALSE,FALSE,35.22,https://seekingalpha.com/symbol/WTR?s=WTR,https://stockcharts.com/h-sc/ui?s=WTR,33.33,34.64,35.2,33.99,35.22,34.79
champion,XOM,Exxon Mobil Corporation,Energy,80.49,4.08%,66.19%,Moderate,Risky,FALSE,TRUE,FALSE,TRUE,79.56,https://seekingalpha.com/symbol/XOM?s=XOM,https://stockcharts.com/h-sc/ui?s=XOM,70.15,74.59,77.86,76.08,78.44,79.56
contender,AAN,"Aaron&#39;s,  Inc.",Technology,57.06,0.25%,4.50%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,51.8,https://seekingalpha.com/symbol/AAN?s=AAN,https://stockcharts.com/h-sc/ui?s=AAN,43.15,48.72,49.38,46.21,49.41,51.8
contender,ABC,AmerisourceBergen Corporation (Holding Co),Health Care,74.05,2.16%,28.15%,Safe,Safe,TRUE,FALSE,FALSE,TRUE,71.03,https://seekingalpha.com/symbol/ABC?s=ABC,https://stockcharts.com/h-sc/ui?s=ABC,75.68,79.49,75.53,71.03,75.28,70.55
contender,ACN,Accenture plc,Miscellaneous,180.83,1.61%,40.61%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,174.56,https://seekingalpha.com/symbol/ACN?s=ACN,https://stockcharts.com/h-sc/ui?s=ACN,150.34,155.86,160.5,154.35,165.18,174.56
contender,ADI,"Analog Devices, Inc.",Technology,114.44,1.89%,46.38%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,106.26,https://seekingalpha.com/symbol/ADI?s=ADI,https://stockcharts.com/h-sc/ui?s=ADI,95.11,101.03,103.3,98.74,102.01,106.26
contender,AEL,American Equity Investment Life Holding Company,Finance,29.32,0.95%,5.59%,Risky,Moderate,TRUE,TRUE,FALSE,FALSE,28.02,https://seekingalpha.com/symbol/AEL?s=AEL,https://stockcharts.com/h-sc/ui?s=AEL,28.02,29.84,26.34,22.49,24.75,27.1
contender,AFG,"American Financial Group, Inc.",Finance,101.83,1.57%,24.79%,Moderate,Risky,TRUE,TRUE,FALSE,FALSE,95.52,https://seekingalpha.com/symbol/AFG?s=AFG,https://stockcharts.com/h-sc/ui?s=AFG,91.29,95.48,93.75,90.06,93.14,95.52
contender,AIT,"Applied Industrial Technologies, Inc.",Consumer Durables,59.27,2.09%,28.64%,Risky,Moderate,TRUE,TRUE,FALSE,FALSE,57.32,https://seekingalpha.com/symbol/AIT?s=AIT,https://stockcharts.com/h-sc/ui?s=AIT,52.63,55.38,55.94,54.68,57.07,57.32
contender,AIZ,"Assurant, Inc.",Finance,93.51,2.57%,57.29%,Safe,Moderate,TRUE,TRUE,TRUE,TRUE,93.33,https://seekingalpha.com/symbol/AIZ?s=AIZ,https://stockcharts.com/h-sc/ui?s=AIZ,93.33,98.16,94,87.02,90.96,91.84
contender,AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",Finance,146.63,2.46%,24.86%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,129.58,https://seekingalpha.com/symbol/AMP?s=AMP,https://stockcharts.com/h-sc/ui?s=AMP,115.9,123.76,122.66,116.67,122.38,129.58
contender,ANDE,"The Andersons, Inc.",Consumer Services,32.69,2.08%,45.55%,Risky,Moderate,TRUE,TRUE,FALSE,FALSE,32.02,https://seekingalpha.com/symbol/ANDE?s=ANDE,https://stockcharts.com/h-sc/ui?s=ANDE,32.02,34.49,31.97,28.33,30.28,31.95
contender,APU,"AmeriGas Partners, L.P.",Consumer Services,36,10.56%,413.04%,Risky,Risky,FALSE,TRUE,FALSE,FALSE,30.78,https://seekingalpha.com/symbol/APU?s=APU,https://stockcharts.com/h-sc/ui?s=APU,25.42,26.9,27,25.6,28.24,30.78
contender,ATRI,Atrion Corporation,Health Care,876.85,0.62%,27.66%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,855,https://seekingalpha.com/symbol/ATRI?s=ATRI,https://stockcharts.com/h-sc/ui?s=ATRI,696.37,741.37,783.5,741.36,810.02,855
contender,ATVI,"Activision Blizzard, Inc",Technology,48.15,0.77%,14.47%,Risky,Safe,TRUE,TRUE,FALSE,TRUE,43.96,https://seekingalpha.com/symbol/ATVI?s=ATVI,https://stockcharts.com/h-sc/ui?s=ATVI,35.12,38.63,40.89,37.14,41.34,43.96
contender,AUBN,"Auburn National Bancorporation, Inc.",Finance,35.01,2.86%,39.67%,Moderate,Moderate,TRUE,TRUE,FALSE,FALSE,33.99,https://seekingalpha.com/symbol/AUBN?s=AUBN,https://stockcharts.com/h-sc/ui?s=AUBN,31.37,32.55,32.3,28.54,33.99,35.01
contender,AVA,Avista Corporation,Public Utilities,42.14,3.68%,71.98%,Moderate,Safe,FALSE,TRUE,FALSE,FALSE,40.38,https://seekingalpha.com/symbol/AVA?s=AVA,https://stockcharts.com/h-sc/ui?s=AVA,38.94,39.67,39.75,38.82,39.72,40.38
contender,AWK,American Water Works,Public Utilities,106.88,1.70%,56.51%,Risky,Risky,TRUE,TRUE,FALSE,TRUE,101.92,https://seekingalpha.com/symbol/AWK?s=AWK,https://stockcharts.com/h-sc/ui?s=AWK,91.03,96.32,100.61,97.09,100.68,101.92
contender,AXS,Axis Capital Holdings Limited,Finance,57.11,2.80%,33305.05%,Safe,Risky,FALSE,TRUE,FALSE,FALSE,54.59,https://seekingalpha.com/symbol/AXS?s=AXS,https://stockcharts.com/h-sc/ui?s=AXS,52.08,54.58,54.47,52.18,53.48,54.59
contender,BBY,"Best Buy Co., Inc.",Consumer Services,72.8,2.75%,34.62%,Safe,Risky,TRUE,TRUE,FALSE,TRUE,71.09,https://seekingalpha.com/symbol/BBY?s=BBY,https://stockcharts.com/h-sc/ui?s=BBY,52.83,60.84,66.36,63.27,67.17,71.09
contender,BCPC,Balchem Corporation,Basic Industries,100.03,0.47%,19.42%,Risky,Risky,TRUE,TRUE,FALSE,FALSE,92.74,https://seekingalpha.com/symbol/BCPC?s=BCPC,https://stockcharts.com/h-sc/ui?s=BCPC,75.32,82.03,88.03,83.6,88.2,92.74
contender,BEP,Brookfield Renewable Partners L.P.,Public Utilities,31.39,6.56%,1507.69%,Moderate,Risky,FALSE,TRUE,FALSE,FALSE,30.96,https://seekingalpha.com/symbol/BEP?s=BEP,https://stockcharts.com/h-sc/ui?s=BEP,27.2,28.64,29.85,29.14,30.54,30.96
contender,BG,Bunge Limited,Consumer Non-Durables,48.97,4.08%,122.29%,Safe,Safe,FALSE,TRUE,FALSE,FALSE,48.56,https://seekingalpha.com/symbol/BG?s=BG,https://stockcharts.com/h-sc/ui?s=BG,45.99,49.53,49.9,48.56,50.82,47.26
contender,BIP,Brookfield Infrastructure Partners LP,Consumer Services,41.43,4.85%,318.64%,Risky,Risky,FALSE,TRUE,FALSE,FALSE,41.04,https://seekingalpha.com/symbol/BIP?s=BIP,https://stockcharts.com/h-sc/ui?s=BIP,36.43,38.22,39.51,38.28,40.07,41.04
contender,BLK,"BlackRock, Inc.",Finance,478.98,2.76%,45.22%,Moderate,Risky,TRUE,TRUE,FALSE,TRUE,429.4,https://seekingalpha.com/symbol/BLK?s=BLK,https://stockcharts.com/h-sc/ui?s=BLK,392.71,417.97,413.3,392.24,409.81,429.4
contender,BMRC,Bank of Marin Bancorp,Finance,42.8,1.78%,27.25%,Safe,Risky,TRUE,TRUE,FALSE,FALSE,42.06,https://seekingalpha.com/symbol/BMRC?s=BMRC,https://stockcharts.com/h-sc/ui?s=BMRC,39.63,42.06,38.74,35.32,38,40.56
